The Bridge Kingdom | Danielle L. Jensen
A War of Stolen Hearts | Danielle L. Jensen
Tarnished Empire | Danielle L. Jensen
The Inadequate Heir | Danielle L. Jensen
Gilded Bonds | Danielle L. Jensen
Gilded | Raven Kennedy
Gild | Raven Kennedy
Glint | Raven Kennedy
Gleam | Raven Kennedy
Gold | Raven Kennedy
Glow | Raven Kennedy
Powerless | Lauren Roberts
Reckless | Lauren Roberts
Ruthless | Lauren Roberts
The Hunger Games | Suzanne Collins
Catching Fire | Suzanne Collins
Mockingjay | Suzanne Collins
The Ballad of Songbirds and Snakes | Suzanne Collins
Twilight | Stephenie Meyer
New Moon | Stephenie Meyer
Eclipse | Stephenie Meyer
Breaking Dawn | Stephenie Meyer
Midnight Sun | Stephenie Meyer
