Horus Rising | Dan Abnett
False Gods | Graham McNeill
Galaxy in Flames | Ben Counter
The Flight of the Eisenstein | James Swallow
Fulgrim | Graham McNeill
Descent of Angels | Mitchel Scanlon
Legion | Dan Abnett
Battle for the Abyss | Ben Counter
Mechanicum | Graham McNeill
Tales of Heresy | Nick Kyme
Fallen Angels | Mike Lee
A Thousand Sons | Graham McNeill
Nemesis | James Swallow
The First Heretic | Aaron Dembski-Bowden
Prospero Burns | Dan Abnett
Age of Darkness | Christian Z. Dunn
The Outcast Dead | Graham McNeill
Deliverance Lost | Gav Thorpe
Know No Fear | Dan Abnett
The Primarchs | Christian Z. Dunn
Fear to Tread | James Swallow
Shadows of Treachery | Christian Z. Dunn
Angel Exterminatus | Graham McNeill
Betrayer | Aaron Dembski-Bowden
Mark of Calth | L.J. Goulding
Vulkan Lives | Nick Kyme
The Unremembered Empire | Dan Abnett
Scars | Chris Wraight
Vengeful Spirit | Graham McNeill
The Damnation of Pythos | David Annandale
Legacies of Betrayal | Laurie Goulding
Deathfire | Nick Kyme
War Without End | Aaron Dembski-Bowden
Pharos | Guy Haley
Eye of Terra | Aaron Dembski-Bowden
The Path of Heaven | Chris Wraight
The Silent War | L.J. Goulding
Angels of Caliban | Gav Thorpe
Praetorian of Dorn | John French
Corax | Gav Thorpe
The Master of Mankind | Aaron Dembski-Bowden
Garro: Weapon of Fate | James Swallow
Shattered Legions | Laurie Goulding
The Crimson King | Graham McNeill
Tallarn | John French
Ruinstorm | David Annandale
Old Earth | Nick Kyme
The Burden of Loyalty | Laurie Goulding
Wolfsbane | Guy Haley
Born of Flame | Nick Kyme
Slaves to Darkness | John French
Heralds of the Siege | Nick Kyme
Titandeath | Guy Haley
The Buried Dagger | James Swallow
Roboute Guilliman: Lord of Ultramar | David Annandale
Leman Russ: The Great Wolf | Chris Wraight
Magnus the Red: Master of Prospero | Graham McNeill
Perturabo: Hammer of Olympia | Guy Haley
Lorgar: Bearer of the Word | Gav Thorpe
Fulgrim: The Palatine Phoenix | Joshua Reynolds
Ferrus Manus: The Gorgon of Medusa | David Guymer
Jaghatai Khan: Warhawk of Chogoris | Chris Wraight
Vulkan: Lord of Drakes | David Annandale
Corax: Lord of Shadows | Guy Haley
Angron: Slave of Nuceria | Ian St. Martin
Konrad Curze: The Night Haunter | Guy Haley
Lion El'Jonson: Lord of the First | David Guymer
Alpharius: Head of the Hydra | Mike Brooks
Mortarion: The Pale King | David Annandale
Rogal Dorn: The Emperor's Crusader | Gav Thorpe
Sanguinius: The Great Angel | Chris Wraight
Valdor: Birth of the Imperium | Chris Wraight
Luther: First of the Fallen | Gav Thorpe
Sigismund: The Eternal Crusader | John French
Eidolon: The Auric Hammer | Marc Collins
