The Bands of Mourning | Brandon Sanderson
Dawnshard | Brandon Sanderson
The Lost Metal | Brandon Sanderson
The Eleventh Metal | Brandon Sanderson
Mistborn: Secret History | Brandon Sanderson
A Veil of Gods and Skin | Jennifer L. Armentrout
The Legacy | R.A. Salvatore
Starless Night | R.A. Salvatore
Siege of Darkness | R.A. Salvatore
Passage to Dawn | R.A. Salvatore
The Silent Blade | R.A. Salvatore
The Spine of the World | R.A. Salvatore
Servant of the Shard | R.A. Salvatore
Sea of Swords | R.A. Salvatore
The Thousand Orcs | R.A. Salvatore
Gauntlgrym | R.A. Salvatore
Timeless | R.A. Salvatore
Dragons of Autumn Twilight | Margaret Weis & Tracy Hickman
Dragons of Winter Night | Margaret Weis & Tracy Hickman
Dragons of Spring Dawning | Margaret Weis & Tracy Hickman
Time of the Twins | Margaret Weis & Tracy Hickman
War of the Twins | Margaret Weis & Tracy Hickman
Test of the Twins | Margaret Weis & Tracy Hickman
The Second Generation | Margaret Weis & Tracy Hickman
Dragons of Summer Flame | Margaret Weis & Tracy Hickman
Free Four | Veronica Roth
The Transfer | Veronica Roth
The Initiate | Veronica Roth
The Son | Veronica Roth
The Traitor | Veronica Roth
We Can Be Mended | Veronica Roth
The World of Divergent | Veronica Roth
The Heart of What Was Lost | Tad Williams
Arrow's Fall | Mercedes Lackey
Winds of Fury | Mercedes Lackey
Brightly Burning | Mercedes Lackey
Beyond | Mercedes Lackey
Lady of the Lake | Andrzej Sapkowski
Side Jobs | Jim Butcher
Soul Music | Terry Pratchett
Eric | Terry Pratchett
The Last Continent | Terry Pratchett
The Amazing Maurice and His Educated Rodents | Terry Pratchett
The Wee Free Men | Terry Pratchett
A Hat Full of Sky | Terry Pratchett
The Shepherd's Crown | Terry Pratchett
Going Postal | Terry Pratchett
Raising Steam | Terry Pratchett
A Questionable Client | Ilona Andrews
Magic Bites | Ilona Andrews
Magic Burns | Ilona Andrews
Magic Strikes | Ilona Andrews
Magic Mourns | Ilona Andrews
Magic Bleeds | Ilona Andrews
Magic Dreams | Ilona Andrews
Magic Slays | Ilona Andrews
Magic Tests | Ilona Andrews
Magic Gifts | Ilona Andrews
Magic Breaks | Ilona Andrews
Magic Steals | Ilona Andrews
Magic Shifts | Ilona Andrews
Magic Binds | Ilona Andrews
Magic Stars | Ilona Andrews
Magic Triumphs | Ilona Andrews
Gunmetal Magic | Ilona Andrews
Iron and Magic | Ilona Andrews
Blood Heir | Ilona Andrews
Magic Tides | Ilona Andrews
Magic Claims | Ilona Andrews
They Cry | Glen Cook
Nerilka's Story | Anne McCaffrey
The Renegades of Pern | Anne McCaffrey
The Skies of Pern | Anne McCaffrey
King of Scars | Leigh Bardugo
Rule of Wolves | Leigh Bardugo
The Language of Thorns | Leigh Bardugo
The Lives of Saints | Leigh Bardugo
